Iteration,ID,Raster,Bio Result,Spearman Correlation
1,B001F,_2019_125_139,0.09,0.1831544415326324
1,B007F,_2019_223_237,0.29,0.1831544415326324
1,B010M,_2019_299_313,0.12,0.1831544415326324
1,B012F,_2019_300_314,0.68,0.1831544415326324
1,B007F,_2019_322_336,0.81,0.1831544415326324
1,B008M,_2019_323_337,0.78,0.1831544415326324
1,B001F,_2020_026_040,0.84,0.1831544415326324
1,B002F,_2020_041_055,0.54,0.1831544415326324
1,B003M,_2020_043_057,0.17,0.1831544415326324
1,B004F,_2021_248_262,0.93,0.1831544415326324
1,B005F,_2021_252_266,0.47,0.1831544415326324
1,B006F,_2021_268_282,0.51,0.1831544415326324
1,B013M,_2021_269_283,0.55,0.1831544415326324
1,B007F,_2022_001_008,0.81,0.1831544415326324
1,B010M,_2022_064_078,0.12,0.1831544415326324
1,B012F,_2022_065_079,0.45,0.1831544415326324
1,B001F,_2022_083_097,0.96,0.1831544415326324
1,B002F,_2022_149_163,0.16,0.1831544415326324
1,B003M,_2022_150_164,0.29,0.1831544415326324
1,B004F,_2022_247_261,0.51,0.1831544415326324
1,B005F,_2022_248_262,0.57,0.1831544415326324
1,B006F,_2022_331_345,0.05,0.1831544415326324
2,B001F,_2019_125_139,0.09,-0.050310942272852745
2,B007F,_2019_223_237,0.29,-0.050310942272852745
2,B010M,_2019_299_313,0.12,-0.050310942272852745
2,B012F,_2019_300_314,0.68,-0.050310942272852745
2,B007F,_2019_322_336,0.81,-0.050310942272852745
2,B008M,_2019_323_337,0.78,-0.050310942272852745
2,B001F,_2020_026_040,0.84,-0.050310942272852745
2,B002F,_2020_041_055,0.54,-0.050310942272852745
2,B003M,_2020_043_057,0.17,-0.050310942272852745
2,B004F,_2021_248_262,0.93,-0.050310942272852745
2,B005F,_2021_252_266,0.47,-0.050310942272852745
2,B006F,_2021_268_282,0.51,-0.050310942272852745
2,B013M,_2021_269_283,0.55,-0.050310942272852745
2,B007F,_2022_001_008,0.81,-0.050310942272852745
2,B010M,_2022_064_078,0.12,-0.050310942272852745
2,B012F,_2022_065_079,0.45,-0.050310942272852745
2,B001F,_2022_083_097,0.96,-0.050310942272852745
2,B002F,_2022_149_163,0.16,-0.050310942272852745
2,B003M,_2022_150_164,0.29,-0.050310942272852745
2,B004F,_2022_247_261,0.51,-0.050310942272852745
2,B005F,_2022_248_262,0.57,-0.050310942272852745
2,B006F,_2022_331_345,0.05,-0.050310942272852745
3,B001F,_2019_125_139,0.09,0.230638926374426
3,B007F,_2019_223_237,0.29,0.230638926374426
3,B010M,_2019_299_313,0.12,0.230638926374426
3,B012F,_2019_300_314,0.68,0.230638926374426
3,B007F,_2019_322_336,0.81,0.230638926374426
3,B008M,_2019_323_337,0.78,0.230638926374426
3,B001F,_2020_026_040,0.84,0.230638926374426
3,B002F,_2020_041_055,0.54,0.230638926374426
3,B003M,_2020_043_057,0.17,0.230638926374426
3,B004F,_2021_248_262,0.93,0.230638926374426
3,B005F,_2021_252_266,0.47,0.230638926374426
3,B006F,_2021_268_282,0.51,0.230638926374426
3,B013M,_2021_269_283,0.55,0.230638926374426
3,B007F,_2022_001_008,0.81,0.230638926374426
3,B010M,_2022_064_078,0.12,0.230638926374426
3,B012F,_2022_065_079,0.45,0.230638926374426
3,B001F,_2022_083_097,0.96,0.230638926374426
3,B002F,_2022_149_163,0.16,0.230638926374426
3,B003M,_2022_150_164,0.29,0.230638926374426
3,B004F,_2022_247_261,0.51,0.230638926374426
3,B005F,_2022_248_262,0.57,0.230638926374426
3,B006F,_2022_331_345,0.05,0.230638926374426
4,B001F,_2019_125_139,0.09,0.10401363346297643
4,B007F,_2019_223_237,0.29,0.10401363346297643
4,B010M,_2019_299_313,0.12,0.10401363346297643
4,B012F,_2019_300_314,0.68,0.10401363346297643
4,B007F,_2019_322_336,0.81,0.10401363346297643
4,B008M,_2019_323_337,0.78,0.10401363346297643
4,B001F,_2020_026_040,0.84,0.10401363346297643
4,B002F,_2020_041_055,0.54,0.10401363346297643
4,B003M,_2020_043_057,0.17,0.10401363346297643
4,B004F,_2021_248_262,0.93,0.10401363346297643
4,B005F,_2021_252_266,0.47,0.10401363346297643
4,B006F,_2021_268_282,0.51,0.10401363346297643
4,B013M,_2021_269_283,0.55,0.10401363346297643
4,B007F,_2022_001_008,0.81,0.10401363346297643
4,B010M,_2022_064_078,0.12,0.10401363346297643
4,B012F,_2022_065_079,0.45,0.10401363346297643
4,B001F,_2022_083_097,0.96,0.10401363346297643
4,B002F,_2022_149_163,0.16,0.10401363346297643
4,B003M,_2022_150_164,0.29,0.10401363346297643
4,B004F,_2022_247_261,0.51,0.10401363346297643
4,B005F,_2022_248_262,0.57,0.10401363346297643
4,B006F,_2022_331_345,0.05,0.10401363346297643
5,B001F,_2019_125_139,0.09,0.02261165944847314
5,B007F,_2019_223_237,0.29,0.02261165944847314
5,B010M,_2019_299_313,0.12,0.02261165944847314
5,B012F,_2019_300_314,0.68,0.02261165944847314
5,B007F,_2019_322_336,0.81,0.02261165944847314
5,B008M,_2019_323_337,0.78,0.02261165944847314
5,B001F,_2020_026_040,0.84,0.02261165944847314
5,B002F,_2020_041_055,0.54,0.02261165944847314
5,B003M,_2020_043_057,0.17,0.02261165944847314
5,B004F,_2021_248_262,0.93,0.02261165944847314
5,B005F,_2021_252_266,0.47,0.02261165944847314
5,B006F,_2021_268_282,0.51,0.02261165944847314
5,B013M,_2021_269_283,0.55,0.02261165944847314
5,B007F,_2022_001_008,0.81,0.02261165944847314
5,B010M,_2022_064_078,0.12,0.02261165944847314
5,B012F,_2022_065_079,0.45,0.02261165944847314
5,B001F,_2022_083_097,0.96,0.02261165944847314
5,B002F,_2022_149_163,0.16,0.02261165944847314
5,B003M,_2022_150_164,0.29,0.02261165944847314
5,B004F,_2022_247_261,0.51,0.02261165944847314
5,B005F,_2022_248_262,0.57,0.02261165944847314
5,B006F,_2022_331_345,0.05,0.02261165944847314
6,B001F,_2019_125_139,0.09,0.007914080806965599
6,B007F,_2019_223_237,0.29,0.007914080806965599
6,B010M,_2019_299_313,0.12,0.007914080806965599
6,B012F,_2019_300_314,0.68,0.007914080806965599
6,B007F,_2019_322_336,0.81,0.007914080806965599
6,B008M,_2019_323_337,0.78,0.007914080806965599
6,B001F,_2020_026_040,0.84,0.007914080806965599
6,B002F,_2020_041_055,0.54,0.007914080806965599
6,B003M,_2020_043_057,0.17,0.007914080806965599
6,B004F,_2021_248_262,0.93,0.007914080806965599
6,B005F,_2021_252_266,0.47,0.007914080806965599
6,B006F,_2021_268_282,0.51,0.007914080806965599
6,B013M,_2021_269_283,0.55,0.007914080806965599
6,B007F,_2022_001_008,0.81,0.007914080806965599
6,B010M,_2022_064_078,0.12,0.007914080806965599
6,B012F,_2022_065_079,0.45,0.007914080806965599
6,B001F,_2022_083_097,0.96,0.007914080806965599
6,B002F,_2022_149_163,0.16,0.007914080806965599
6,B003M,_2022_150_164,0.29,0.007914080806965599
6,B004F,_2022_247_261,0.51,0.007914080806965599
6,B005F,_2022_248_262,0.57,0.007914080806965599
6,B006F,_2022_331_345,0.05,0.007914080806965599
7,B001F,_2019_125_139,0.09,0.3114756089027175
7,B007F,_2019_223_237,0.29,0.3114756089027175
7,B010M,_2019_299_313,0.12,0.3114756089027175
7,B012F,_2019_300_314,0.68,0.3114756089027175
7,B007F,_2019_322_336,0.81,0.3114756089027175
7,B008M,_2019_323_337,0.78,0.3114756089027175
7,B001F,_2020_026_040,0.84,0.3114756089027175
7,B002F,_2020_041_055,0.54,0.3114756089027175
7,B003M,_2020_043_057,0.17,0.3114756089027175
7,B004F,_2021_248_262,0.93,0.3114756089027175
7,B005F,_2021_252_266,0.47,0.3114756089027175
7,B006F,_2021_268_282,0.51,0.3114756089027175
7,B013M,_2021_269_283,0.55,0.3114756089027175
7,B007F,_2022_001_008,0.81,0.3114756089027175
7,B010M,_2022_064_078,0.12,0.3114756089027175
7,B012F,_2022_065_079,0.45,0.3114756089027175
7,B001F,_2022_083_097,0.96,0.3114756089027175
7,B002F,_2022_149_163,0.16,0.3114756089027175
7,B003M,_2022_150_164,0.29,0.3114756089027175
7,B004F,_2022_247_261,0.51,0.3114756089027175
7,B005F,_2022_248_262,0.57,0.3114756089027175
7,B006F,_2022_331_345,0.05,0.3114756089027175
8,B001F,_2019_125_139,0.09,0.2826457431059142
8,B007F,_2019_223_237,0.29,0.2826457431059142
8,B010M,_2019_299_313,0.12,0.2826457431059142
8,B012F,_2019_300_314,0.68,0.2826457431059142
8,B007F,_2019_322_336,0.81,0.2826457431059142
8,B008M,_2019_323_337,0.78,0.2826457431059142
8,B001F,_2020_026_040,0.84,0.2826457431059142
8,B002F,_2020_041_055,0.54,0.2826457431059142
8,B003M,_2020_043_057,0.17,0.2826457431059142
8,B004F,_2021_248_262,0.93,0.2826457431059142
8,B005F,_2021_252_266,0.47,0.2826457431059142
8,B006F,_2021_268_282,0.51,0.2826457431059142
8,B013M,_2021_269_283,0.55,0.2826457431059142
8,B007F,_2022_001_008,0.81,0.2826457431059142
8,B010M,_2022_064_078,0.12,0.2826457431059142
8,B012F,_2022_065_079,0.45,0.2826457431059142
8,B001F,_2022_083_097,0.96,0.2826457431059142
8,B002F,_2022_149_163,0.16,0.2826457431059142
8,B003M,_2022_150_164,0.29,0.2826457431059142
8,B004F,_2022_247_261,0.51,0.2826457431059142
8,B005F,_2022_248_262,0.57,0.2826457431059142
8,B006F,_2022_331_345,0.05,0.2826457431059142
9,B001F,_2019_125_139,0.09,0.3391748917270971
9,B007F,_2019_223_237,0.29,0.3391748917270971
9,B010M,_2019_299_313,0.12,0.3391748917270971
9,B012F,_2019_300_314,0.68,0.3391748917270971
9,B007F,_2019_322_336,0.81,0.3391748917270971
9,B008M,_2019_323_337,0.78,0.3391748917270971
9,B001F,_2020_026_040,0.84,0.3391748917270971
9,B002F,_2020_041_055,0.54,0.3391748917270971
9,B003M,_2020_043_057,0.17,0.3391748917270971
9,B004F,_2021_248_262,0.93,0.3391748917270971
9,B005F,_2021_252_266,0.47,0.3391748917270971
9,B006F,_2021_268_282,0.51,0.3391748917270971
9,B013M,_2021_269_283,0.55,0.3391748917270971
9,B007F,_2022_001_008,0.81,0.3391748917270971
9,B010M,_2022_064_078,0.12,0.3391748917270971
9,B012F,_2022_065_079,0.45,0.3391748917270971
9,B001F,_2022_083_097,0.96,0.3391748917270971
9,B002F,_2022_149_163,0.16,0.3391748917270971
9,B003M,_2022_150_164,0.29,0.3391748917270971
9,B004F,_2022_247_261,0.51,0.3391748917270971
9,B005F,_2022_248_262,0.57,0.3391748917270971
9,B006F,_2022_331_345,0.05,0.3391748917270971
10,B001F,_2019_125_139,0.09,0.3097797344440821
10,B007F,_2019_223_237,0.29,0.3097797344440821
10,B010M,_2019_299_313,0.12,0.3097797344440821
10,B012F,_2019_300_314,0.68,0.3097797344440821
10,B007F,_2019_322_336,0.81,0.3097797344440821
10,B008M,_2019_323_337,0.78,0.3097797344440821
10,B001F,_2020_026_040,0.84,0.3097797344440821
10,B002F,_2020_041_055,0.54,0.3097797344440821
10,B003M,_2020_043_057,0.17,0.3097797344440821
10,B004F,_2021_248_262,0.93,0.3097797344440821
10,B005F,_2021_252_266,0.47,0.3097797344440821
10,B006F,_2021_268_282,0.51,0.3097797344440821
10,B013M,_2021_269_283,0.55,0.3097797344440821
10,B007F,_2022_001_008,0.81,0.3097797344440821
10,B010M,_2022_064_078,0.12,0.3097797344440821
10,B012F,_2022_065_079,0.45,0.3097797344440821
10,B001F,_2022_083_097,0.96,0.3097797344440821
10,B002F,_2022_149_163,0.16,0.3097797344440821
10,B003M,_2022_150_164,0.29,0.3097797344440821
10,B004F,_2022_247_261,0.51,0.3097797344440821
10,B005F,_2022_248_262,0.57,0.3097797344440821
10,B006F,_2022_331_345,0.05,0.3097797344440821
