Analyte,Spearman_Coefficient
UTAS,-0.10513980135809979
UV,0.03812370267001944
USE,0.030326637080903922
UFE,0.06791249127845521
UBE,-0.0011090408270789905
UCO,-0.09144634944552886
USR,-0.05245761022413345
UMO,-0.03343605843884375
USN,-0.031194661725601123
USB,0.021179920035787562
UCS,-0.046986173540313106
UBA,-0.1551949150716283
UW,-0.1556403551951934
UPT,0.018894538315131014
UPB,0.12867694185833087
UUR,0.05320092645724122
UCD,0.04987052573648802
UMN,0.08171324222989196
SCU,0.014255295266899316
SZN,-0.12061966724952604
STAS,-0.1549303443384804
SSE,0.051237977487701106
